iter	RMSE
0	260.4505073
1	246.0490172
2	233.5782811
3	222.5921276
4	213.410933
5	205.4702176
6	198.6909649
7	192.8251135
8	188.1262437
9	184.1787775
10	180.6877208
11	178.3321742
12	175.8024068
13	173.8747953
14	172.0612519
15	170.5889115
16	169.2843728
17	168.1386238
18	167.1833061
19	166.3959438
20	165.6677278
21	165.0560226
22	164.6771525
23	164.196933
24	163.8900598
25	163.5383239
26	163.1839144
27	163.0333478
28	162.8377505
29	162.5709601
30	162.3766076
31	162.1918138
32	162.0383389
33	161.8904299
34	161.7162116
35	161.5633146
36	161.4397219
37	161.3027995
38	161.1908745
39	161.1034802
40	160.9789879
41	160.8711516
42	160.770241
43	160.6867199
44	160.6226173
45	160.5553318
46	160.4956974
47	160.4327697
48	160.3967487
49	160.3363176
50	160.2580703
51	160.2251988
52	160.1927514
53	160.1826401
54	160.1423967
55	160.1059762
56	160.0720958
57	160.02483
58	159.9745674
59	159.971141
60	159.9419283
61	159.9236425
62	159.8991799
63	159.8715596
64	159.8219631
65	159.8057008
66	159.7506338
67	159.7170465
68	159.6772793
69	159.6499159
70	159.6336896
71	159.6021173
72	159.5670112
73	159.5318989
74	159.5053555
75	159.4874231
76	159.4716527
77	159.448821
78	159.4309186
79	159.3900484
80	159.3703682
81	159.3427528
82	159.3207461
83	159.2892851
84	159.2705358
85	159.263762
86	159.2489535
87	159.2288481
88	159.2041797
89	159.1836127
90	159.1655637
91	159.1610102
92	159.1311842
93	159.1097231
94	159.0850895
95	159.0613228
96	159.0501241
97	159.0221272
98	159.0059322
99	158.9940036
100	158.9654683
101	158.9608338
102	158.9394935
103	158.8910512
104	158.8725517
105	158.8691167
106	158.8589833
107	158.8420971
108	158.8195063
109	158.7855872
110	158.7584923
111	158.7417232
112	158.7275364
113	158.7045338
114	158.6909072
115	158.668766
116	158.6658003
117	158.64867
118	158.6097907
119	158.581625
120	158.5630251
121	158.5487533
122	158.5213616
123	158.5177707
124	158.5151746
125	158.5119506
126	158.4940474
127	158.4846953
128	158.4744396
129	158.4479227
