feature,mean_importance
region_Northern California,-0.00029669413822287495
region_North Central,-0.00014791543578595578
region_Central East,-9.643288187166088e-05
region_Canada East,-7.8293605619556e-05
region_North East,-7.35910172081522e-05
region_North West,-6.521598075947543e-05
region_Southern California,3.406945998865596e-05
region_Canada West,6.043455395719488e-05
region_Africa,8.196292197717447e-05
region_South West,0.000121177117120852
region_South East,0.0001478934118326225
region_South Central,0.0002219717531147136
region_Mid Atlantic,0.00029924576395274347
region_Asia,0.0004436285189154565
region_Australia,0.0006964818671364448
eat,0.0009046053214925409
region_Europe,0.0022481792004723
region_Latin America,0.002333983049567756
howlong,0.012569471180194691
schedule,0.01795148202481379
experience,0.022053733876389998
background,0.023605551179172086
height,0.03543070520395485
age,0.08104762350921968
athlete_id,0.08648617082909045
weight,0.30302080508742507
gender_Male,0.5243757677555537
