feature,mean_importance
weight_sum_height,-0.00010876095932103036
random_feature,7.249140109312213e-05
eat,0.00033146786216642354
weight_sum_age,0.00034805308300028814
weight,0.0005553571301489757
height_diff_weight,0.0006522852644579747
weight_multiply_height,0.0008130172166846694
age,0.005393761921283252
region,0.006341056496195085
age_diff_weight,0.007446525866777814
howlong,0.011158183903044416
height,0.013107391521055495
weight_ratio_age,0.01484572207604407
schedule,0.015198600260246109
athlete_id,0.01899155761023156
age_ratio_weight,0.019376029346749746
weight_ratio_height,0.021822104662620113
athlete_id_ratio_weight,0.021833211519098377
background,0.02286919266915513
experience,0.02301388173179607
height_ratio_weight,0.029652420075453732
gender,0.5183352961305857
