feature,mean_importance
eat,-0.0003160351434089548
weight_sum_age,-0.00013464535073753892
weight_multiply_height,-1.259517223004547e-05
height_diff_weight,0.0005739912598333619
weight,0.0013571902019412052
age,0.0047563078728837084
region,0.007134487477278256
age_diff_weight,0.010485633987475252
howlong,0.0125202228202143
age_ratio_weight,0.013471504959442554
height,0.013496039781332358
schedule,0.01598113601499237
athlete_id_ratio_weight,0.017583236586052715
experience,0.022010408550983556
height_ratio_weight,0.022937682321842255
background,0.023054574375987392
athlete_id,0.025735473943847304
weight_ratio_age,0.025738005795327625
weight_ratio_height,0.03538728484186712
gender,0.526157483531254
