feature,mean_importance
eat,0.000255930524585124
Cluster,0.0005162033350904705
Dist_Cluster_3,0.0015316598504524492
Dist_Cluster_0,0.0016365398100203765
Dist_Cluster_1,0.0029857393267731956
Dist_Cluster_2,0.0059802224401772405
region,0.006775016141712687
howlong,0.012593211526545505
schedule,0.01632235876506165
experience,0.0232145602038835
background,0.02343247255532388
height,0.03639359245843853
age,0.05515969431996195
athlete_id,0.06102963128204893
weight,0.2939383587398665
gender,0.5189773656765494
