feature,mean_importance
region,-7.391492844278935e-07
name_daniel,-5.4439542245792037e-08
name_andrew,-1.545387747211793e-08
name_wilson,-9.147599072988685e-09
name_nick,-7.527240488632872e-09
name_jose,-6.904184618701308e-09
name_michael,-6.384845407907808e-09
name_jordan,-5.94966721769721e-09
name_lee,-5.667687177571138e-09
name_david,-5.337932204210044e-09
name_katie,-5.150000802503182e-09
name_stephanie,-4.4733365954716654e-09
name_johnson,-3.6091353576583623e-09
name_danielle,-3.356285761624636e-09
name_heather,-3.1382554078760784e-09
name_jason,-2.757568455843257e-09
name_joseph,-2.4342115988396303e-09
name_rob,-1.5487982833875059e-09
name_nicole,-1.2042615096834664e-09
name_ryan,-5.332114346519486e-10
name_william,-2.9071665212415837e-10
name_stephen,-7.94483964931098e-11
name_martin,-7.501801561269868e-11
name_peter,0.0
name_jeff,0.0
name_jennifer,0.0
name_jeremy,0.0
name_jessica,0.0
name_joe,0.0
name_williams,0.0
name_smith,0.0
name_jonathan,0.0
name_miller,0.0
name_steve,0.0
name_steven,0.0
name_josh,0.0
name_joshua,0.0
name_julie,0.0
name_justin,0.0
name_tim,0.0
name_mike,0.0
name_kevin,0.0
name_kyle,0.0
name_laura,0.0
name_lauren,0.0
name_van,0.0
name_lisa,0.0
name_melissa,0.0
name_mark,0.0
name_martinez,0.0
name_sean,0.0
name_rachel,0.0
name_jamie,0.0
name_sarah,0.0
name_aaron,0.0
name_adam,0.0
name_patrick,0.0
name_amanda,0.0
name_amy,0.0
name_anderson,0.0
name_andrea,0.0
team,0.0
name_anthony,0.0
name_ashley,0.0
name_ben,0.0
name_brandon,0.0
name_brian,0.0
name_nathan,0.0
name_brown,0.0
name_carlos,0.0
name_greg,0.0
name_erin,0.0
name_eric,0.0
name_emily,0.0
name_sara,0.0
name_bryan,0.0
affiliate,0.0
name_matt,0.0
name_dan,0.0
name_craig,0.0
name_robert,0.0
name_chris,0.0
name_rodriguez,0.0
name_megan,0.0
name_garcia,6.316616032856805e-11
name_tyler,6.461740292146301e-11
name_john,3.084894956780111e-10
name_taylor,7.308577824711938e-10
name_christopher,7.806822367801744e-10
name_kelly,8.478058511726303e-10
name_davis,9.737196352620582e-10
name_tom,1.6213970875083726e-09
name_james,2.1412380375349876e-09
name_richard,2.3674167268027776e-09
name_jones,3.0418760035529676e-09
name_maria,8.173402640312413e-09
name_paul,9.317043431375744e-09
name_kim,1.0797647487913598e-08
name_michelle,1.137720578977603e-08
name_matthew,1.1459449721853575e-08
name_alex,1.1923656788832902e-08
name_scott,1.4381441679927384e-08
name_thomas,1.44654580981721e-08
run5k,3.926598004994254e-08
athlete_id,3.8548334911065036e-07
age,6.677256490360937e-07
filthy50,6.896010033111315e-07
gender,7.342896204022599e-07
height,1.1879313252005754e-06
weight,1.247710160533803e-06
grace,1.4655906385698892e-06
run400,1.5677015699272346e-06
helen,2.0879749562666506e-06
fgonebad,2.1648010645775516e-06
fran,2.59842935398937e-06
schedule,2.718704627081449e-06
pullups,2.775617685602452e-06
experience,3.018512818622457e-06
train,3.3191690650704975e-06
background,4.35346409287768e-06
howlong,4.661837169595404e-06
eat,5.116097068993966e-06
