feature,mean_importance
eat,0.0004256260751707819
Dist_Cluster_0,0.0010294196308442583
Dist_Cluster_2,0.0013757401215262976
Dist_Cluster_1,0.0021593359174729653
Cluster,0.004542453085554382
region,0.006809754769637133
Dist_Cluster_3,0.009220504854304572
howlong,0.012864004628569731
schedule,0.015418859822269055
background,0.02344745148548667
experience,0.024583837192993785
height,0.039246081685579214
age,0.044886596958594885
athlete_id,0.0507976344567602
weight,0.3175720411983227
gender,0.5204953868954012
