name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,169.96746950112018,4.43
2_DecisionTree,Decision Tree,rmse,164.1700210528777,0.76
3_DecisionTree,Decision Tree,rmse,164.1700210528777,0.96
4_Default_LightGBM,LightGBM,rmse,133.7421507794499,2.44
5_Default_Xgboost,Xgboost,rmse,133.16036025247925,1.11
6_Default_CatBoost,CatBoost,rmse,132.5844300300013,3.23
7_Default_NeuralNetwork,Neural Network,rmse,140.13264483398274,1.41
8_Default_RandomForest,Random Forest,rmse,157.61956151209807,4.9
9_Default_ExtraTrees,Extra Trees,rmse,164.77595117693556,2.64
19_LightGBM,LightGBM,rmse,133.27165328309775,2.34
10_Xgboost,Xgboost,rmse,133.72227970295964,1.26
28_CatBoost,CatBoost,rmse,132.29414412143964,5.98
37_RandomForest,Random Forest,rmse,158.16871905755812,3.88
46_ExtraTrees,Extra Trees,rmse,167.4004967054639,2.15
55_NeuralNetwork,Neural Network,rmse,142.12292400822977,1.71
20_LightGBM,LightGBM,rmse,135.14250407034606,1.33
11_Xgboost,Xgboost,rmse,133.62015143775878,1.25
29_CatBoost,CatBoost,rmse,133.95294515118354,2.8
38_RandomForest,Random Forest,rmse,164.6042351460799,3.33
47_ExtraTrees,Extra Trees,rmse,171.97965899246378,1.71
56_NeuralNetwork,Neural Network,rmse,140.22708635659197,1.98
21_LightGBM,LightGBM,rmse,133.42687362007027,2.3
12_Xgboost,Xgboost,rmse,134.55142941222067,1.12
30_CatBoost,CatBoost,rmse,133.36913296283578,3.03
39_RandomForest,Random Forest,rmse,148.49068592914247,3.1
48_ExtraTrees,Extra Trees,rmse,153.74185268957626,2.25
57_NeuralNetwork,Neural Network,rmse,144.97157993884002,2.61
22_LightGBM,LightGBM,rmse,133.49917376984425,3.1
13_Xgboost,Xgboost,rmse,134.55446619721425,1.05
31_CatBoost,CatBoost,rmse,134.90762531619654,1.91
40_RandomForest,Random Forest,rmse,148.47422308397128,3.43
49_ExtraTrees,Extra Trees,rmse,159.0189807108661,3.6
58_NeuralNetwork,Neural Network,rmse,142.77865900729577,1.68
23_LightGBM,LightGBM,rmse,134.58254826838495,1.35
14_Xgboost,Xgboost,rmse,133.12941059891665,1.11
32_CatBoost,CatBoost,rmse,133.83609346824505,3.08
41_RandomForest,Random Forest,rmse,145.55880887118312,3.76
50_ExtraTrees,Extra Trees,rmse,154.03550608524378,2.52
59_NeuralNetwork,Neural Network,rmse,141.07891195809754,2.12
24_LightGBM,LightGBM,rmse,134.21986782666232,4.43
15_Xgboost,Xgboost,rmse,133.35653654065487,1.17
33_CatBoost,CatBoost,rmse,134.30678455515405,2.87
42_RandomForest,Random Forest,rmse,145.54130540453414,2.34
51_ExtraTrees,Extra Trees,rmse,151.46800633940828,3.91
60_NeuralNetwork,Neural Network,rmse,138.61476180904074,2.18
25_LightGBM,LightGBM,rmse,133.2133802526786,2.31
16_Xgboost,Xgboost,rmse,133.92504195672265,1.52
34_CatBoost,CatBoost,rmse,133.0823865871233,15.26
43_RandomForest,Random Forest,rmse,157.54961523343823,1.88
52_ExtraTrees,Extra Trees,rmse,166.02652180405062,2.85
61_NeuralNetwork,Neural Network,rmse,140.9984817699076,1.74
26_LightGBM,LightGBM,rmse,133.3502664401074,1.95
17_Xgboost,Xgboost,rmse,133.39248015733287,1.32
35_CatBoost,CatBoost,rmse,133.36779943169088,3.65
44_RandomForest,Random Forest,rmse,157.63197705076658,2.14
53_ExtraTrees,Extra Trees,rmse,165.4054403643185,1.57
62_NeuralNetwork,Neural Network,rmse,148.9425845362901,1.57
27_LightGBM,LightGBM,rmse,133.3003069822271,2.12
18_Xgboost,Xgboost,rmse,132.7153540454792,1.64
36_CatBoost,CatBoost,rmse,132.47338672841158,11.23
45_RandomForest,Random Forest,rmse,145.79067700032817,3.75
54_ExtraTrees,Extra Trees,rmse,156.6010902458989,1.7
63_NeuralNetwork,Neural Network,rmse,144.513267725858,1.44
18_Xgboost_categorical_mix,Xgboost,rmse,133.61373774593966,1.93
28_CatBoost_GoldenFeatures,CatBoost,rmse,132.28394291834255,6.98
36_CatBoost_GoldenFeatures,CatBoost,rmse,132.43179156237085,10.88
6_Default_CatBoost_GoldenFeatures,CatBoost,rmse,132.4273080241783,5.69
28_CatBoost_KMeansFeatures,CatBoost,rmse,133.05263221631012,6.51
36_CatBoost_KMeansFeatures,CatBoost,rmse,132.9655468017182,9.1
6_Default_CatBoost_KMeansFeatures,CatBoost,rmse,132.79263860942365,4.62
28_CatBoost_GoldenFeatures_RandomFeature,CatBoost,rmse,132.5713973679885,6.42
28_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,132.47955453862565,9.46
18_Xgboost_SelectedFeatures,Xgboost,rmse,132.7153540454792,1.72
25_LightGBM_SelectedFeatures,LightGBM,rmse,133.2133802526786,2.51
60_NeuralNetwork_SelectedFeatures,Neural Network,rmse,138.61476180904074,2.33
42_RandomForest_SelectedFeatures,Random Forest,rmse,145.54130540453414,2.57
51_ExtraTrees_SelectedFeatures,Extra Trees,rmse,151.46800633940828,4.14
64_CatBoost_GoldenFeatures,CatBoost,rmse,132.5214541948186,6.84
65_CatBoost_GoldenFeatures,CatBoost,rmse,132.03568125668406,10.68
66_CatBoost,CatBoost,rmse,132.3998704193128,8.78
67_CatBoost,CatBoost,rmse,132.65068399855744,6.64
68_CatBoost_GoldenFeatures,CatBoost,rmse,132.8524342953453,3.89
69_CatBoost_GoldenFeatures,CatBoost,rmse,132.76367691508457,4.79
70_Xgboost,Xgboost,rmse,132.83952233062854,1.54
71_Xgboost,Xgboost,rmse,133.44779847526132,1.6
72_Xgboost_SelectedFeatures,Xgboost,rmse,132.83952233062854,1.59
73_Xgboost_SelectedFeatures,Xgboost,rmse,133.44779847526132,1.59
74_Xgboost,Xgboost,rmse,133.1853985005147,1.3
75_Xgboost,Xgboost,rmse,133.3515649521053,1.31
76_LightGBM_SelectedFeatures,LightGBM,rmse,133.76006204376782,1.79
77_LightGBM,LightGBM,rmse,133.76006204376782,1.79
78_LightGBM,LightGBM,rmse,132.67714500862633,1.67
79_NeuralNetwork_SelectedFeatures,Neural Network,rmse,139.06181666655593,2.13
80_NeuralNetwork,Neural Network,rmse,139.06181666655593,2.26
81_NeuralNetwork,Neural Network,rmse,141.32963069033937,2.15
82_RandomForest_SelectedFeatures,Random Forest,rmse,145.66271936388912,3.61
83_RandomForest,Random Forest,rmse,145.66271936388912,3.52
84_RandomForest,Random Forest,rmse,145.5645999303774,3.42
85_RandomForest,Random Forest,rmse,145.59318856293174,2.42
86_ExtraTrees,Extra Trees,rmse,153.39167523660495,2.37
87_ExtraTrees_SelectedFeatures,Extra Trees,rmse,153.39167523660495,2.51
88_ExtraTrees,Extra Trees,rmse,154.25286917801176,1.9
89_DecisionTree,Decision Tree,rmse,179.770679458712,0.92
90_CatBoost_GoldenFeatures,CatBoost,rmse,132.30827198854087,9.62
91_CatBoost_GoldenFeatures,CatBoost,rmse,132.81848818683034,8.74
92_CatBoost_GoldenFeatures,CatBoost,rmse,132.4116256500843,7.08
93_CatBoost_GoldenFeatures,CatBoost,rmse,132.55475219126598,9.49
94_CatBoost,CatBoost,rmse,132.554674904783,7.7
95_CatBoost,CatBoost,rmse,132.44318221446096,7.74
96_LightGBM,LightGBM,rmse,133.3703312525,1.7
97_Xgboost_SelectedFeatures,Xgboost,rmse,132.1984247900285,2.05
98_NeuralNetwork,Neural Network,rmse,142.72741954899436,2.13
99_NeuralNetwork_SelectedFeatures,Neural Network,rmse,142.72741954899436,2.01
100_NeuralNetwork,Neural Network,rmse,140.65782074713997,1.75
101_RandomForest,Random Forest,rmse,145.5230495812384,2.69
102_RandomForest,Random Forest,rmse,145.50771262602805,2.69
103_RandomForest_SelectedFeatures,Random Forest,rmse,145.5230495812384,2.7
104_RandomForest_SelectedFeatures,Random Forest,rmse,145.50771262602805,2.71
105_RandomForest,Random Forest,rmse,146.00032212940891,2.47
106_RandomForest,Random Forest,rmse,145.4447330816645,4.17
107_ExtraTrees,Extra Trees,rmse,152.05329278925717,3.25
108_ExtraTrees,Extra Trees,rmse,151.45545054997703,2.01
109_ExtraTrees_SelectedFeatures,Extra Trees,rmse,152.05329278925717,3.21
110_ExtraTrees_SelectedFeatures,Extra Trees,rmse,151.45545054997703,1.95
111_ExtraTrees,Extra Trees,rmse,152.52279348367892,3.11
112_ExtraTrees,Extra Trees,rmse,152.399671509788,3.64
Ensemble,Ensemble,rmse,131.13716977253046,9.54
