feature,mean_importance
weight_sum_height,-1.6159802427462288e-05
weight,3.629725390670302e-05
eat,0.0003492768181148187
age_diff_height,0.0003822605849498117
weight_multiply_height,0.0004654816457892008
weight_sum_age,0.0007139831789421458
age,0.001586161769004124
height_diff_weight,0.0018807715164851691
weight_ratio_age,0.003756273470118021
region,0.005867815895497208
weight_ratio_height,0.014674951226678435
height,0.014982096439162373
age_ratio_weight,0.019062355218217263
schedule,0.0225522295120683
background,0.0281365864763116
experience,0.033041156157701125
height_ratio_weight,0.03561822974311938
age_diff_weight,0.04675927288731384
howlong,0.04737045031720558
gender,0.5440566784506812
