feature,mean_importance
eat,7.439897185508304e-05
weight_sum_age,0.0007289179163293303
weight_sum_height,0.0010052679282798738
weight_multiply_height,0.0013657942857562611
weight,0.0015621573904210817
age_diff_height,0.002359537513533028
height_diff_weight,0.003322909493572013
age,0.0038717713059288617
region,0.005773342966920369
age_ratio_weight,0.013971567622358794
height,0.014884198348836674
weight_ratio_age,0.018348593170250883
schedule,0.023936106652529366
age_diff_weight,0.024953769059077747
height_ratio_weight,0.02830701191319619
background,0.0324268802603182
experience,0.039639494658647
howlong,0.04442396202583511
weight_ratio_height,0.044971852498285315
gender,0.5705856279814231
