feature,mean_importance
eat,-0.0001922686408829255
weight_sum_age,0.0003294587922393566
weight_sum_height,0.0004116478772529408
height_diff_weight,0.0007128119738375905
weight,0.0016153268249832098
age_diff_height,0.0020169644047079104
age_diff_weight,0.0032610775357101106
age,0.0036677945804072464
weight_multiply_height,0.003930632716674898
region,0.004435510015882604
height,0.010473429089865283
age_ratio_weight,0.011966373467129643
weight_ratio_height,0.021181702214143595
schedule,0.022221142927153513
weight_ratio_age,0.02771569571137108
background,0.029488684277615272
experience,0.03841485960280283
howlong,0.04519954700148469
height_ratio_weight,0.05368112159136742
gender,0.5523242018707496
